Date,USA,UK,FRA,DE,DJAI,FTSE 100,CAC40,DAX 30,year
2006/12/6,-0.001756184,-0.002174387,0.001248829,-0.005600015,-0.002707818,0.000627619,-0.011106067,-0.002319157,118
2006/12/7,0.011215615,0.009100821,0.016094436,0.018677276,0.009921386,-0.005658217,0.017013333,0.00628286,119
2006/12/8,0.003831007,0.002585094,0.004289222,0.006275543,0.004222191,0.00395413,0.002632036,-0.002888329,120
2006/12/11,0.002162007,0.006433649,0.006095721,0.001958183,0.001624933,-0.002839764,0.003244026,0.008931366,121
2006/12/12,-0.005269058,-0.006003449,0,-0.000390549,-0.006033007,-0.003783203,-0.008129613,-0.000391287,122
2006/12/13,0.000434122,0.003434954,0.006964449,0.007006646,0.000423762,-0.000820178,-0.003248782,0.004367427,123
2006/12/14,0.002456471,-0.00860961,0.000904841,0.003871472,0.001934794,0.008520253,-0.000903624,0.000997009,124
2006/12/15,0.00747667,0.000864304,0.006311065,0.00193013,0.007074394,0.003393408,0.011917352,-0.000506428,125
2006/12/18,0.002860823,0.001726371,0.002393777,0.001926412,0.002754426,-0.00669472,-0.007473657,0.00097104,126
2006/12/19,0.002567762,0.000862069,-0.004192878,0,0.004406802,0.022928149,0.004699966,0.002940673,127
2006/12/20,0.0002849,-0.003020499,-0.004511964,-0.000384986,0.002981131,-0.01069537,0.006234682,0.002656088,128
2006/12/21,0.000569557,-0.000432246,-0.003926904,0.000662083,-0.002110378,-0.00810682,-0.003130787,-0.002575816,129
2006/12/22,0.000995945,0.000432246,0.008138704,0.007009607,0.000409934,-0.018287364,-0.010213565,-0.013877433,130
2006/12/27,0.00198892,0.00474241,0.005389235,0.007992431,0.000434914,6.8018E-05,0.009770338,0.016737202,131
2006/12/28,-0.004053051,-0.000860585,-0.003289969,-0.001517451,-0.003802156,0.001338274,0.005136641,0.003489129,132
2006/12/29,-0.013846761,-0.009950331,-0.014180355,-0.018778095,-0.012987706,-0.009189572,-0.002851524,-0.000509216,133
2007/1/2,0.004325266,0.011670761,0.008170722,0.01153859,0.001215261,0.017184724,0.010493938,0.020162514,134
2007/1/3,0.010376135,0.003860181,0.011089579,0.008756957,0.007411218,0.007783548,-0.002581623,-0.008155414,135
2007/1/4,0.000427046,0.008100663,0.002976193,0,-0.00039266,0.00738775,-0.000951742,-0.007483307,136
2007/1/5,-0.002208371,-0.001274697,-0.012559974,-0.004178544,-0.002277191,-0.008832561,0.001863244,-0.019384562,137
2007/1/8,0.007601898,0.00508907,0.007793804,0.007584413,0.007330703,0.003230651,0.008533879,0.003964303,138
2007/1/9,0.004308068,0.009682248,0.01128278,0.010896219,0.003879682,0.001137169,-0.005209248,-0.000280422,139
2007/1/10,-0.000846024,-0.002096876,-0.008301263,-0.003368897,-0.001814061,0.005842471,0.002435323,-0.012727541,140
2007/1/11,-0.004382562,0.000839278,0.005936497,0.00560854,-0.002508577,-0.002563164,-0.01163702,0.015820884,141
2007/1/12,0.001840187,0.00376806,-0.002370371,-0.003361348,0.002365585,0.005720822,0.011764704,0.003907712,142
2007/1/15,0.002894971,-0.002510462,0.011209557,0.009309321,0.001704013,0.005402122,0.015134238,0.004805638,143
2007/1/16,-0.000775877,0.004597709,0.00058651,0.002960772,-0.001046906,-0.005301758,-0.000105171,-0.003301872,144
2007/1/17,0.001057865,0.006650066,0.007302501,0.00552793,0.000155888,-0.012307466,-0.001503441,-0.000165786,145
2007/1/18,0.008772294,0.004958688,0.00203518,0.000734754,0.008026157,0.001398559,0.006115746,-0.001495335,146
2007/1/19,-0.005464877,-0.007447283,-0.003782923,-0.004785579,0.002313546,0.001866705,-0.005607412,0.009800905,147
2007/1/22,-0.002743679,-0.001662511,-0.003797288,0.002211575,-0.000341547,-0.006098509,-0.004301442,-0.010146248,148
2007/1/23,0.001900272,0.009933857,0.006708498,0.004775032,0.002412436,0.014961629,0.002180469,0.004290555,149
2007/1/24,-0.000562667,-0.043347834,-0.017575052,-0.019985861,-0.000597549,0.004049449,0.004837851,0.005339168,150
2007/1/25,-0.003665073,-0.003446794,0.002933502,-0.000747943,-0.003425343,-0.001795181,0.007586966,-0.002270684,151
2007/1/26,-0.006162147,-0.002160295,-0.013064319,-0.011661446,-0.006301791,0.009167743,-0.024704282,-0.009767239,152
2007/1/29,0.005879661,0.004746503,0.001493206,0.006786132,0.005204681,0.004004407,-0.01418912,0.008410174,153
2007/1/30,0.006547244,0.011130252,0.015986131,0.0104713,0.008262281,-0.009794354,-0.01464585,0.009748442,154
2007/1/31,-0.002107334,0.004248095,0.000293643,0.000743771,-0.00072365,0.002239975,-0.004827634,0.003903375,155
2007/2/1,-0.004157424,-0.007659612,0.004978777,0,-0.003073947,-0.00685867,-0.01510183,0.010037667,156
2007/2/2,-0.001766847,0.005962539,0.003208403,0.00925076,0.000911874,0.003776299,0.010926376,-0.000216002,157
2007/2/5,0.002119843,-0.002125399,-0.007600154,-0.003416511,0.000494486,0.014498748,0.006341224,-0.003323198,158
2007/2/6,-0.008008264,-0.019334652,-0.012994867,-0.01667345,-0.006646674,-0.002664651,0.011386064,0.002864325,159
2007/2/7,0.004614355,0.004329011,-0.000297309,-0.003010917,0.00205306,-0.003377156,0.001083554,0.009706064,160
2007/2/8,-0.00085028,-0.006500565,0.002672607,0.004512982,-0.000554748,0.005357089,-0.002095577,-0.004172162,161
2007/2/9,0.003326142,-0.002612104,-0.009834679,-0.010941441,0.002056419,-0.003970181,-0.00973419,0.002606177,162
2007/2/12,0.004370821,0.01342302,0.011612457,0.009063506,0.005835621,-0.00987382,-0.024276453,-0.010583418,163
2007/2/13,0.007568361,0.009417878,0.007079676,0.0104713,0.003278684,0.006498052,0.017902114,0.010142733,164
2007/2/14,-0.001956674,0,-0.004123717,0.005564845,0.002109102,0.006180641,0.004676044,0.017072957,165
2007/2/15,0.00041961,0,-0.004140793,-0.005564845,-0.000432437,0.003899202,0.012663049,0.000393597,166
2007/2/16,-0.003361819,-0.002132652,-0.002968242,-0.005595986,-0.000733344,-0.021429042,0.00996516,-0.000451197,167
2007/2/19,0.001962434,0.011040452,0.011526653,0.013747198,-0.00019098,-0.020334245,-0.001325166,0.005825843,168
2007/2/20,-0.003085556,-0.005080451,-0.008558411,-0.011505044,-0.007057578,-0.011381455,0.019058843,-0.001585707,169
2007/2/21,0.00294551,0.008453136,0.006499284,0.007437743,0.004529222,-0.006169396,0.00392217,-0.006914423,170
2007/2/22,0.008020967,0.006293287,0.007919091,0.005910619,0.006994106,-0.020821823,-0.007122043,0.004456841,171
2007/2/23,-0.011809648,-0.015170961,-0.015177407,-0.011483734,-0.009489678,0.015266925,0.00297722,0.006045617,172
2007/2/26,-0.000703185,-0.002976826,0.004013954,0.000744879,-0.001243719,0.005105158,-0.007220182,0.004538636,173
2007/2/27,-0.000774076,-0.000425985,0.005891033,0.00445766,0.000301067,0.01004782,0.014323663,-0.02405287,174
2007/2/28,0.005195911,0.002553193,0.005564519,0.013620678,0.002600936,0.005033268,0.003012999,-0.016607659,175
2007/3/1,0.00670066,0.001698514,0.003207467,0.007648917,0.007825055,-0.002217835,0.00254471,-0.015351759,176
2007/3/2,0.005964784,0.005500331,0.006094925,0.007950891,0.004110639,-0.011841305,0.010262854,-0.004210217,177
2007/3/5,0.001382075,0.005050516,-0.001447807,-0.001440922,-0.001594336,-0.02525718,0.005780596,-0.018228018,178
2007/3/6,0.000276186,-0.003364175,-0.003774137,-0.004335267,0.000651782,0.022822455,0.004293812,0.01050311,179
2007/3/7,0.00027611,0.004203453,0.001162791,0.003614026,0.000360865,0.00261899,0.005070435,0.006490762,180
2007/3/8,0.002206137,0.004185858,0.010117155,0.007189104,4.42108E-05,0.010317625,-0.002938419,0.013107107,181
2007/3/9,-0.001309307,-0.006705809,-0.004323396,0.000358102,-0.002311052,0.01470974,0.002827103,-0.000881773,182
2007/3/12,-0.007475118,-0.00675108,-0.005793759,-0.00646554,-0.004504644,0.004065477,0.0100411,0.005322359,183
2007/3/13,-0.003410004,0,-0.006119792,-0.003610112,-0.002250395,0.012079457,0.014980017,-0.011900287,184
2007/3/14,0.008399619,0.00548872,0.013356761,0.011506779,0.008116709,0.002770108,0.000305437,-0.025763841,185
2007/3/15,0.006545653,0.01088788,0.014887192,0.016312418,0.006852095,-0.003706111,-0.002615986,0.021520183,186
2007/3/16,0.001304005,-0.002502086,-0.002273113,0.001054667,0.001815198,-0.001921534,0.000875239,0.005253012,187
2007/3/19,-0.000480225,-0.002089865,0.001704608,0,0.000200528,-0.005521035,0.018377597,0.012312684,188
2007/3/20,0.002124962,0.005840651,-0.001707456,0.005606181,0.001492514,0.008799112,-0.005553617,0.006198741,189
2007/3/21,-0.000410931,-0.011715615,-0.001995724,-0.005957614,-0.003779037,0.000691225,-0.001919323,0.000627961,190
2007/3/22,-0.000753812,0.008799554,0.002849817,0.002457435,-0.004121239,0.006305431,0.011681207,0.023086034,191
2007/3/23,-0.003915244,0.002916061,0.00255791,0.00559442,-0.003042614,0.006462913,-0.003275853,0.003565872,192
2007/3/26,-0.000895101,0.002077707,0.004813828,0.003480686,-0.001204126,-1.74693E-05,-0.001126704,-0.006927945,193
2007/3/27,-0.039840868,-0.048043245,-0.050104587,-0.046222234,-0.033487645,0.002524801,0.008588036,0.005362853,194
2007/3/28,0.010198712,0.011260405,0.012396853,0.004357305,0.004279384,0.003858689,0.000415956,-0.007111362,195
2007/3/29,-0.002984653,-0.014313842,-0.015669205,-0.01754431,-0.002798846,0.001526883,-0.000290211,0.011919704,196
2007/3/30,-0.013181651,-0.021639175,-0.010785006,-0.010750799,-0.009876688,0.000533824,0.012534121,0.005434385,197
2007/4/2,-0.009564597,-0.011675032,-0.015174798,-0.018811691,-0.005271379,0.010375725,0.002127006,0.003430802,198
2007/4/3,0.016964854,0.034623965,0.025065483,0.025127892,0.012959205,0.011713384,-0.011821553,0.014082531,199
2007/4/4,-0.00100265,0.002179125,0.001192251,0.002219757,-0.001240982,0.004481806,0.003614286,0.005063184,200
2007/4/5,0.0084196,0.007373705,0.012139305,0.015037877,0.005582117,-0.007227169,-0.011104019,0.007549542,201
2007/4/10,0.000284172,0.008605905,0.000294247,0,0.001273178,-0.002712788,0.00813048,0.010103608,202
2007/4/11,0.001490578,-0.00300365,-0.000294247,0.007615631,0.003439735,0.007546995,-0.001570006,-0.002379724,203
2007/4/12,-0.019625325,-0.019965941,-0.0247294,-0.02561428,-0.019895239,-0.001894046,0.008064771,0.001963186,204
2007/4/13,0.007422655,0,0.002109388,0.000741015,0.004745281,-0.008127228,-0.011769092,0.01266837,205
2007/4/16,0.001363229,0.004381008,0.006899682,0.005908437,0.00216358,0.005925766,0.000250576,0.019831126,206
2007/4/17,-0.006762616,0.003914172,0.00447428,0.005873732,-0.004060147,-0.004950169,0.013411014,0.00242561,207
2007/4/18,0.011983066,0.009950331,0.009183889,0.013813378,0.009513323,-0.005308956,-0.005475059,-0.007909853,208
2007/4/19,0.005477127,0.017072544,0.011406243,0.008626941,0.005052578,0.007492653,-0.000848477,-0.003394008,209
2007/4/20,0.016323447,0.024661647,0.023369791,0.021597582,0.012890092,-0.005900368,0.006329696,0.01339267,210
2007/4/23,-0.000767969,-0.009958589,-0.005426259,0.000350201,0.001093596,0.006248979,-0.014566291,-0.002856226,211
2007/4/24,0.001465611,0.006650066,0.004856459,0.004192878,0.001593287,0.00677861,0.002781303,-0.005559043,212
2007/4/25,-0.001325936,0.004133946,0.000284941,-0.000697593,-0.000957111,0.01218993,0.002528238,0.01127857,213
2007/4/26,-0.002377125,-0.007037909,-0.001996293,0.002787458,-0.005773278,-0.009510287,-0.000853004,0.003176201,214
2007/4/27,-0.007306482,-0.008762835,-0.010618553,-0.014015646,-0.00784937,0.003540073,-0.006667251,-2.98387E-05,215
2007/4/30,0.00105712,0.008347294,0.014578728,0.01575387,0.003926313,-0.013208098,0.012343325,0.00782388,216
2007/5/2,0.00021129,0.000415541,0.000312727,0.001388407,0.000453384,0.007871285,0.010454683,0.001711831,217
2007/5/3,0.001126126,0.007037909,0.007927561,0.011038401,0.002259806,-0.002463516,-0.003991885,0.000130825,218
2007/5/4,0.010705017,0.006988723,0.008144968,0.009899381,0.010284271,0.005223891,-0.004636992,0.007185773,219
2007/5/7,0.001112889,-0.008640251,0.005578815,0.004067802,0.001577454,-0.00577644,-0.018623968,0.002877867,220
2007/5/8,0.002707489,0.007820579,0.00720624,0.014775286,0.002403325,0.001748877,-0.020369807,-0.01682673,221
2007/5/9,0.001385618,-0.002874155,-0.001935039,-0.003673405,0.000711519,0.009825381,-0.006824908,0.005268317,222
2007/5/10,0.001176267,0.005740073,0.007443177,0.008660947,0.000374657,-0.003658779,0.010207144,-0.012807387,223
2007/5/11,-0.004088285,-0.002455998,-0.010491537,-0.005988042,-0.007121774,-0.001975117,-0.009857348,0.010446963,224
2007/5/14,0.004433983,0.008163311,0.012686326,0.010950831,0.005459008,0.007489478,0.003999579,-0.000202076,225
2007/5/15,0.004552046,0.00809721,0.006555609,0.007562094,0.004702555,-0.008644309,0.020209393,0.010312333,226
2007/5/16,0.009451478,0.008432092,0.011908124,0.017854719,0.008552672,0.000524597,0.014499253,-0.009706903,227
2007/5/17,0.002654959,0.005582152,0.001344267,-0.000321802,0.004124979,0.003951287,-0.000659378,0.001177732,228
2007/5/18,0.001222992,-0.004782791,-0.001613337,-0.000643915,0.002408426,-0.004255615,-0.001353786,0.015488303,229
